date,store id,product id,category,location,inventory level,units sold,units ordered,demand forecast,price,discount,weather condition,holiday/promotion,competitor pricing,seasonality
01-01-2022,S002,P0001,Groceries,South,343.0,104.0,144.0,112.55,32.8,20.0,Sunny,1.0,30.78,Spring
01-01-2022,S002,P0002,Clothing,West,373.0,141.0,151.0,135.62,46.16,10.0,Rainy,1.0,45.21,Winter
01-01-2022,S002,P0003,Furniture,East,445.0,182.0,119.0,176.31,20.46,20.0,Snowy,1.0,22.0,Spring
01-01-2022,S002,P0004,Toys,West,191.0,63.0,115.0,54.57,26.19,0.0,Cloudy,0.0,28.06,Autumn
01-01-2022,S002,P0005,Toys,West,281.0,156.0,25.0,150.9,83.29,20.0,Rainy,0.0,80.64,Autumn
01-01-2022,S002,P0006,Furniture,North,492.0,250.0,168.0,242.57,85.59,20.0,Cloudy,0.0,86.82,Winter
01-01-2022,S002,P0007,Groceries,West,460.0,393.0,70.0,401.48,91.13,5.0,Sunny,0.0,93.33,Summer
01-01-2022,S002,P0008,Electronics,West,304.0,29.0,99.0,35.54,66.96,20.0,Snowy,0.0,65.36,Summer
01-01-2022,S002,P0009,Clothing,South,113.0,9.0,84.0,14.78,81.29,5.0,Rainy,1.0,82.06,Winter
01-01-2022,S002,P0010,Electronics,North,157.0,126.0,181.0,132.75,60.84,0.0,Snowy,1.0,65.22,Winter
01-01-2022,S002,P0011,Groceries,West,67.0,13.0,33.0,7.44,34.62,0.0,Snowy,1.0,33.98,Autumn
01-01-2022,S002,P0012,Groceries,East,281.0,25.0,136.0,37.27,19.56,5.0,Rainy,1.0,19.01,Winter
01-01-2022,S002,P0013,Clothing,East,389.0,283.0,177.0,299.7,57.78,20.0,Cloudy,0.0,58.5,Spring
01-01-2022,S002,P0014,Electronics,East,465.0,359.0,77.0,370.36,91.28,20.0,Cloudy,0.0,90.85,Summer
01-01-2022,S002,P0015,Toys,South,197.0,129.0,94.0,148.55,59.9,15.0,Sunny,1.0,55.23,Winter
01-01-2022,S002,P0016,Toys,South,242.0,63.0,85.0,58.07,45.65,20.0,Rainy,1.0,42.17,Spring
01-01-2022,S002,P0017,Groceries,West,398.0,373.0,92.0,390.89,11.71,20.0,Cloudy,1.0,10.0,Winter
01-01-2022,S002,P0018,Groceries,North,234.0,160.0,140.0,177.41,58.84,5.0,Cloudy,0.0,54.39,Summer
01-01-2022,S002,P0019,Toys,East,67.0,15.0,186.0,34.38,84.99,5.0,Sunny,1.0,81.02,Winter
01-01-2022,S002,P0020,Toys,West,221.0,101.0,38.0,115.0,87.1,0.0,Rainy,1.0,91.56,Spring
01-01-2022,S003,P0001,Toys,South,241.0,147.0,180.0,161.09,67.21,5.0,Sunny,1.0,67.39,Summer
01-01-2022,S003,P0002,Electronics,West,115.0,4.0,169.0,11.11,28.2,10.0,Sunny,1.0,25.63,Spring
01-01-2022,S003,P0003,Groceries,South,375.0,77.0,145.0,75.04,56.16,10.0,Sunny,1.0,57.16,Spring
01-01-2022,S003,P0004,Toys,South,153.0,31.0,145.0,42.99,89.53,20.0,Rainy,1.0,93.6,Winter
01-01-2022,S003,P0005,Clothing,West,438.0,325.0,20.0,330.92,97.95,20.0,Sunny,0.0,93.54,Winter
01-01-2022,S003,P0006,Groceries,North,456.0,163.0,22.0,159.17,76.37,5.0,Rainy,1.0,71.38,Summer
01-01-2022,S003,P0007,Electronics,North,189.0,34.0,107.0,26.91,86.99,15.0,Rainy,1.0,90.5,Summer
01-01-2022,S003,P0008,Toys,North,223.0,47.0,107.0,45.48,66.53,15.0,Cloudy,1.0,70.46,Spring
01-01-2022,S003,P0009,Groceries,South,381.0,15.0,184.0,30.05,74.86,15.0,Snowy,1.0,73.93,Winter
01-01-2022,S003,P0010,Groceries,South,166.0,126.0,124.0,141.34,97.09,5.0,Rainy,1.0,95.8,Summer
01-01-2022,S003,P0011,Toys,East,292.0,232.0,155.0,242.02,56.19,0.0,Snowy,1.0,57.85,Winter
01-01-2022,S003,P0012,Electronics,North,311.0,175.0,55.0,176.75,90.38,20.0,Cloudy,0.0,89.52,Summer
01-01-2022,S003,P0013,Furniture,North,51.0,17.0,172.0,12.86,73.98,20.0,Cloudy,1.0,76.65,Summer
01-01-2022,S003,P0014,Electronics,South,398.0,369.0,26.0,387.88,79.03,5.0,Rainy,0.0,82.51,Spring
01-01-2022,S003,P0015,Clothing,West,445.0,260.0,24.0,266.36,27.72,5.0,Snowy,0.0,23.28,Autumn
01-01-2022,S003,P0016,Groceries,South,487.0,347.0,93.0,349.36,98.18,15.0,Rainy,0.0,99.58,Winter
01-01-2022,S003,P0017,Clothing,East,429.0,150.0,168.0,157.82,27.1,5.0,Cloudy,1.0,27.4,Spring
01-01-2022,S003,P0018,Toys,West,204.0,70.0,170.0,83.01,97.08,15.0,Snowy,1.0,94.88,Winter
01-01-2022,S003,P0019,Clothing,East,330.0,249.0,37.0,268.25,26.71,15.0,Cloudy,1.0,24.81,Summer
01-01-2022,S003,P0020,Electronics,North,431.0,370.0,99.0,387.57,95.85,20.0,Cloudy,1.0,95.7,Spring
01-01-2022,S004,P0001,Toys,South,477.0,271.0,66.0,286.65,15.62,15.0,Sunny,0.0,16.09,Winter
01-01-2022,S004,P0002,Clothing,North,462.0,180.0,183.0,176.06,41.13,5.0,Sunny,0.0,45.05,Autumn
01-01-2022,S004,P0003,Clothing,West,446.0,344.0,27.0,352.93,89.32,20.0,Cloudy,0.0,93.0,Autumn
01-01-2022,S004,P0004,Groceries,West,437.0,0.0,160.0,-2.4,87.23,10.0,Sunny,0.0,90.36,Spring
01-01-2022,S004,P0005,Groceries,North,397.0,200.0,172.0,196.57,81.72,0.0,Snowy,1.0,85.22,Spring
01-01-2022,S004,P0006,Electronics,East,470.0,382.0,195.0,396.4,41.35,10.0,Snowy,0.0,39.86,Summer
01-01-2022,S004,P0007,Electronics,West,264.0,190.0,139.0,197.45,67.26,20.0,Cloudy,0.0,64.78,Summer
01-01-2022,S004,P0008,Furniture,South,250.0,51.0,137.0,54.98,85.88,20.0,Snowy,1.0,86.14,Winter
01-01-2022,S004,P0009,Furniture,North,63.0,40.0,73.0,51.78,59.23,10.0,Rainy,1.0,61.1,Summer
01-01-2022,S004,P0010,Groceries,East,447.0,104.0,96.0,115.03,33.48,15.0,Cloudy,0.0,37.15,Summer
01-01-2022,S004,P0011,Electronics,West,205.0,46.0,27.0,46.65,54.84,0.0,Sunny,1.0,57.76,Spring
01-01-2022,S004,P0012,Electronics,North,349.0,9.0,165.0,0.95,14.25,5.0,Rainy,1.0,18.56,Spring
01-01-2022,S004,P0013,Furniture,East,191.0,56.0,65.0,54.47,61.81,0.0,Sunny,0.0,63.92,Autumn
01-01-2022,S004,P0014,Electronics,West,406.0,63.0,139.0,69.73,66.94,10.0,Snowy,1.0,68.47,Winter
01-01-2022,S004,P0015,Clothing,South,228.0,181.0,127.0,171.96,60.54,5.0,Cloudy,0.0,65.27,Autumn
01-01-2022,S004,P0016,Groceries,South,263.0,94.0,24.0,98.05,94.26,15.0,Rainy,0.0,96.74,Summer
01-01-2022,S004,P0017,Electronics,South,203.0,46.0,75.0,55.12,25.55,0.0,Rainy,0.0,28.07,Winter
01-01-2022,S004,P0018,Groceries,West,143.0,8.0,27.0,27.3,16.73,5.0,Cloudy,1.0,18.79,Spring
01-01-2022,S004,P0019,Groceries,West,359.0,172.0,125.0,181.25,71.2,15.0,Rainy,1.0,73.85,Spring
01-01-2022,S004,P0020,Clothing,West,211.0,68.0,37.0,86.27,11.5,20.0,Snowy,0.0,9.26,Winter
01-01-2022,S005,P0001,Toys,West,111.0,77.0,60.0,83.47,70.33,10.0,Cloudy,0.0,70.29,Winter
01-01-2022,S005,P0002,Clothing,West,415.0,298.0,107.0,292.96,57.15,5.0,Snowy,1.0,60.71,Autumn
01-01-2022,S005,P0003,Electronics,North,384.0,64.0,26.0,76.02,36.17,5.0,Sunny,0.0,40.93,Spring
01-01-2022,S005,P0004,Furniture,West,436.0,300.0,174.0,292.04,50.77,15.0,Snowy,1.0,54.7,Spring
01-01-2022,S005,P0005,Clothing,West,180.0,21.0,47.0,38.63,92.86,15.0,Rainy,1.0,96.3,Winter
01-01-2022,S005,P0006,Groceries,North,185.0,176.0,163.0,174.06,60.76,20.0,Cloudy,0.0,61.15,Summer
01-01-2022,S005,P0007,Clothing,South,292.0,131.0,140.0,122.6,46.47,15.0,Snowy,0.0,50.84,Summer
01-01-2022,S005,P0008,Toys,West,478.0,317.0,197.0,328.64,34.08,5.0,Snowy,1.0,30.44,Winter
01-01-2022,S005,P0009,Groceries,West,182.0,97.0,27.0,92.62,87.81,5.0,Snowy,0.0,85.45,Spring
01-01-2022,S005,P0010,Clothing,East,87.0,8.0,141.0,14.38,37.04,10.0,Rainy,1.0,36.87,Summer
01-01-2022,S005,P0011,Groceries,West,427.0,104.0,128.0,94.65,54.12,10.0,Rainy,1.0,53.03,Summer
01-01-2022,S005,P0012,Electronics,West,245.0,87.0,188.0,90.59,67.64,15.0,Sunny,0.0,63.53,Summer
01-01-2022,S005,P0013,Furniture,South,317.0,238.0,95.0,256.57,82.18,5.0,Cloudy,0.0,87.09,Summer
01-01-2022,S005,P0014,Electronics,South,325.0,171.0,43.0,188.55,42.62,20.0,Cloudy,1.0,42.01,Autumn
01-01-2022,S005,P0015,Furniture,West,411.0,250.0,119.0,260.79,11.54,10.0,Cloudy,0.0,11.27,Spring
01-01-2022,S005,P0016,Clothing,South,71.0,11.0,32.0,1.85,16.3,5.0,Sunny,0.0,17.98,Winter
01-01-2022,S005,P0017,Electronics,East,388.0,371.0,98.0,390.04,98.31,15.0,Sunny,1.0,102.42,Spring
01-01-2022,S005,P0018,Furniture,West,161.0,107.0,66.0,103.97,48.96,10.0,Snowy,1.0,50.03,Spring
01-01-2022,S005,P0019,Groceries,South,235.0,106.0,124.0,119.33,88.22,5.0,Rainy,0.0,91.16,Spring
01-01-2022,S005,P0020,Electronics,South,108.0,101.0,52.0,105.92,11.04,10.0,Snowy,1.0,9.14,Autumn
02-01-2022,S001,P0001,Groceries,West,116.0,81.0,104.0,92.94,27.95,10.0,Cloudy,0.0,30.89,Spring
02-01-2022,S001,P0002,Clothing,West,416.0,163.0,79.0,171.6,19.78,15.0,Cloudy,0.0,18.76,Spring
02-01-2022,S001,P0003,Clothing,South,488.0,464.0,163.0,463.12,70.99,10.0,Snowy,0.0,72.93,Summer
02-01-2022,S001,P0004,Groceries,East,248.0,116.0,107.0,133.92,49.56,5.0,Snowy,0.0,50.46,Summer
02-01-2022,S001,P0005,Electronics,East,238.0,200.0,40.0,204.3,23.76,15.0,Sunny,1.0,19.19,Summer
02-01-2022,S001,P0006,Furniture,East,471.0,58.0,32.0,51.57,47.56,0.0,Snowy,1.0,46.82,Summer
02-01-2022,S001,P0007,Electronics,North,178.0,56.0,149.0,60.3,17.1,5.0,Snowy,1.0,17.0,Autumn
02-01-2022,S001,P0008,Clothing,East,92.0,74.0,121.0,67.04,58.89,5.0,Cloudy,0.0,61.56,Autumn
02-01-2022,S001,P0009,Toys,South,99.0,54.0,182.0,70.6,99.76,20.0,Cloudy,0.0,95.61,Spring
02-01-2022,S001,P0010,Clothing,North,171.0,39.0,163.0,47.8,11.44,5.0,Sunny,0.0,12.71,Summer
02-01-2022,S001,P0011,Furniture,East,215.0,12.0,173.0,16.92,53.84,0.0,Cloudy,1.0,53.79,Spring
02-01-2022,S001,P0012,Furniture,East,281.0,56.0,187.0,70.71,57.84,5.0,Snowy,1.0,60.99,Summer
02-01-2022,S001,P0013,Toys,North,455.0,31.0,124.0,44.46,35.51,15.0,Cloudy,1.0,31.06,Autumn
02-01-2022,S001,P0014,Electronics,West,84.0,25.0,20.0,23.36,31.41,0.0,Cloudy,1.0,28.6,Spring
02-01-2022,S001,P0015,Electronics,East,246.0,198.0,67.0,203.23,28.06,20.0,Cloudy,1.0,30.29,Winter
02-01-2022,S001,P0016,Electronics,West,399.0,77.0,147.0,67.55,35.67,15.0,Snowy,0.0,38.02,Summer
02-01-2022,S001,P0017,Furniture,West,242.0,165.0,105.0,181.86,28.18,5.0,Cloudy,0.0,27.5,Autumn
02-01-2022,S001,P0018,Toys,North,478.0,42.0,168.0,55.16,74.42,5.0,Snowy,0.0,69.67,Summer
02-01-2022,S001,P0019,Furniture,South,156.0,8.0,67.0,24.41,91.95,5.0,Cloudy,1.0,87.43,Spring
02-01-2022,S001,P0020,Electronics,North,221.0,174.0,168.0,187.49,97.88,0.0,Snowy,0.0,99.5,Autumn
02-01-2022,S002,P0001,Electronics,West,402.0,343.0,141.0,339.04,66.57,20.0,Rainy,1.0,63.92,Summer
02-01-2022,S002,P0002,Furniture,West,132.0,71.0,60.0,82.44,90.36,5.0,Rainy,0.0,86.73,Winter
02-01-2022,S002,P0003,Groceries,West,218.0,157.0,31.0,153.42,92.24,5.0,Snowy,1.0,89.57,Autumn
02-01-2022,S002,P0004,Groceries,South,131.0,88.0,109.0,100.61,68.71,0.0,Snowy,0.0,69.34,Spring
02-01-2022,S002,P0005,Groceries,North,93.0,64.0,128.0,57.53,87.22,5.0,Cloudy,1.0,90.59,Spring
02-01-2022,S002,P0006,Groceries,East,344.0,273.0,154.0,273.1,79.38,0.0,Rainy,0.0,77.28,Autumn
02-01-2022,S002,P0007,Groceries,North,340.0,247.0,148.0,264.18,17.41,15.0,Snowy,0.0,13.57,Summer
02-01-2022,S002,P0008,Electronics,North,241.0,42.0,187.0,46.32,14.8,15.0,Sunny,1.0,13.94,Spring
02-01-2022,S002,P0009,Electronics,North,296.0,197.0,157.0,195.61,30.5,0.0,Sunny,0.0,28.86,Spring
02-01-2022,S002,P0010,Groceries,West,472.0,374.0,65.0,387.41,27.84,15.0,Cloudy,1.0,32.0,Spring
02-01-2022,S002,P0011,Furniture,East,308.0,154.0,22.0,169.13,88.62,0.0,Cloudy,0.0,86.3,Winter
02-01-2022,S002,P0012,Toys,North,434.0,236.0,30.0,239.09,82.35,20.0,Rainy,0.0,83.13,Autumn
02-01-2022,S002,P0013,Toys,North,287.0,278.0,92.0,279.91,92.57,10.0,Sunny,1.0,97.09,Summer
02-01-2022,S002,P0014,Furniture,West,190.0,27.0,134.0,31.53,94.38,5.0,Rainy,0.0,89.47,Autumn
02-01-2022,S002,P0015,Toys,North,353.0,106.0,191.0,110.49,70.59,0.0,Cloudy,1.0,75.27,Winter
02-01-2022,S002,P0016,Toys,West,210.0,154.0,70.0,166.83,63.13,10.0,Sunny,0.0,67.23,Autumn
02-01-2022,S002,P0017,Clothing,West,193.0,176.0,38.0,174.49,46.04,5.0,Rainy,1.0,41.4,Autumn
02-01-2022,S002,P0018,Groceries,East,124.0,124.0,46.0,116.05,21.07,10.0,Sunny,0.0,21.71,Autumn
02-01-2022,S002,P0019,Toys,East,492.0,479.0,132.0,469.74,79.11,0.0,Cloudy,0.0,80.06,Winter
02-01-2022,S002,P0020,Clothing,South,222.0,78.0,42.0,76.55,64.99,0.0,Sunny,1.0,65.4,Summer
02-01-2022,S003,P0001,Toys,West,277.0,114.0,40.0,132.41,73.48,10.0,Cloudy,0.0,72.55,Autumn
02-01-2022,S003,P0002,Groceries,East,175.0,2.0,140.0,-3.4,87.5,0.0,Rainy,0.0,91.2,Autumn
02-01-2022,S003,P0003,Toys,East,157.0,7.0,187.0,22.8,88.68,20.0,Cloudy,1.0,87.38,Autumn
02-01-2022,S003,P0004,Furniture,West,120.0,54.0,154.0,49.64,82.36,20.0,Snowy,0.0,85.85,Autumn
02-01-2022,S003,P0005,Furniture,East,375.0,282.0,61.0,297.42,38.56,5.0,Cloudy,0.0,36.57,Winter
02-01-2022,S003,P0006,Groceries,East,302.0,93.0,33.0,106.58,97.74,0.0,Cloudy,0.0,97.69,Winter
02-01-2022,S003,P0007,Electronics,West,375.0,85.0,40.0,85.31,37.68,15.0,Cloudy,0.0,36.72,Autumn
02-01-2022,S003,P0008,Clothing,South,248.0,136.0,50.0,130.52,36.03,5.0,Rainy,0.0,37.49,Spring
02-01-2022,S003,P0009,Electronics,West,219.0,140.0,196.0,139.46,88.97,0.0,Snowy,1.0,91.53,Spring
02-01-2022,S003,P0010,Furniture,West,146.0,79.0,155.0,94.23,16.48,10.0,Cloudy,1.0,21.42,Spring
02-01-2022,S003,P0011,Furniture,South,218.0,106.0,111.0,117.65,58.37,10.0,Cloudy,1.0,58.1,Autumn
02-01-2022,S003,P0012,Groceries,West,260.0,1.0,142.0,1.99,27.86,5.0,Snowy,1.0,31.78,Winter
02-01-2022,S003,P0013,Electronics,West,414.0,203.0,53.0,206.35,39.14,5.0,Rainy,1.0,35.3,Autumn
02-01-2022,S003,P0014,Toys,North,420.0,368.0,71.0,384.47,66.51,0.0,Cloudy,0.0,70.84,Spring
02-01-2022,S003,P0015,Electronics,East,435.0,286.0,159.0,283.25,89.65,20.0,Snowy,0.0,84.99,Winter
02-01-2022,S003,P0016,Clothing,South,230.0,69.0,173.0,70.77,86.7,20.0,Rainy,0.0,91.05,Spring
02-01-2022,S003,P0017,Toys,South,456.0,52.0,78.0,65.67,29.69,20.0,Snowy,0.0,25.27,Summer
02-01-2022,S003,P0018,Toys,East,319.0,109.0,83.0,126.67,86.93,10.0,Rainy,1.0,82.59,Winter
02-01-2022,S003,P0019,Furniture,North,59.0,50.0,135.0,44.37,59.33,10.0,Cloudy,0.0,54.98,Spring
02-01-2022,S003,P0020,Electronics,East,155.0,0.0,92.0,9.42,57.07,10.0,Rainy,1.0,53.34,Summer
02-01-2022,S004,P0001,Electronics,North,144.0,22.0,45.0,39.12,74.16,15.0,Rainy,0.0,69.74,Autumn
02-01-2022,S004,P0002,Electronics,East,283.0,45.0,156.0,46.65,59.38,0.0,Sunny,1.0,62.4,Spring
02-01-2022,S004,P0003,Clothing,East,347.0,89.0,122.0,87.77,48.18,0.0,Sunny,1.0,49.64,Spring
02-01-2022,S004,P0004,Groceries,East,410.0,209.0,128.0,224.66,94.75,20.0,Snowy,0.0,90.1,Autumn
02-01-2022,S004,P0005,Toys,West,99.0,4.0,76.0,14.91,60.89,5.0,Sunny,0.0,59.42,Autumn
02-01-2022,S004,P0006,Toys,East,97.0,47.0,138.0,52.02,14.71,5.0,Cloudy,0.0,16.85,Autumn
02-01-2022,S004,P0007,Furniture,West,339.0,115.0,95.0,124.22,33.09,10.0,Rainy,0.0,28.55,Spring
02-01-2022,S004,P0008,Toys,South,144.0,27.0,119.0,21.73,98.75,15.0,Snowy,0.0,102.7,Summer
02-01-2022,S004,P0009,Furniture,South,110.0,90.0,28.0,103.6,12.4,20.0,Snowy,0.0,8.56,Autumn
02-01-2022,S004,P0010,Groceries,South,348.0,206.0,67.0,214.99,92.01,15.0,Snowy,1.0,87.81,Autumn
02-01-2022,S004,P0011,Toys,East,458.0,328.0,144.0,339.54,92.12,20.0,Sunny,1.0,87.37,Spring
02-01-2022,S004,P0012,Groceries,South,403.0,155.0,24.0,145.99,37.39,20.0,Sunny,0.0,38.71,Spring
02-01-2022,S004,P0013,Clothing,West,198.0,184.0,161.0,191.55,85.35,10.0,Rainy,1.0,80.79,Spring
02-01-2022,S004,P0014,Electronics,East,472.0,16.0,166.0,28.75,82.64,0.0,Cloudy,0.0,78.35,Autumn
02-01-2022,S004,P0015,Toys,North,178.0,90.0,79.0,98.56,92.19,10.0,Snowy,1.0,97.07,Summer
02-01-2022,S004,P0016,Clothing,West,215.0,178.0,111.0,180.76,61.41,0.0,Sunny,0.0,61.32,Spring
02-01-2022,S004,P0017,Electronics,South,477.0,256.0,150.0,254.89,96.47,20.0,Cloudy,0.0,93.35,Spring
02-01-2022,S004,P0018,Furniture,South,198.0,27.0,62.0,25.51,89.33,0.0,Sunny,0.0,89.63,Spring
02-01-2022,S004,P0019,Groceries,North,110.0,67.0,83.0,79.41,59.49,20.0,Rainy,1.0,57.55,Spring
02-01-2022,S004,P0020,Electronics,North,254.0,84.0,112.0,77.15,73.05,15.0,Sunny,1.0,74.55,Autumn
02-01-2022,S005,P0001,Groceries,East,223.0,67.0,53.0,74.8,67.49,5.0,Sunny,0.0,65.24,Winter
02-01-2022,S005,P0002,Furniture,West,100.0,15.0,114.0,28.97,66.05,10.0,Sunny,1.0,65.16,Autumn
02-01-2022,S005,P0003,Toys,West,397.0,333.0,35.0,336.02,80.88,20.0,Rainy,1.0,84.97,Winter
02-01-2022,S005,P0004,Groceries,North,442.0,56.0,38.0,54.08,60.5,10.0,Cloudy,1.0,64.88,Spring
02-01-2022,S005,P0005,Furniture,West,411.0,165.0,194.0,172.41,71.72,20.0,Rainy,0.0,75.17,Autumn
02-01-2022,S005,P0006,Clothing,North,76.0,54.0,175.0,49.32,69.21,15.0,Rainy,1.0,71.17,Summer
02-01-2022,S005,P0007,Clothing,East,257.0,93.0,148.0,84.69,70.69,20.0,Snowy,0.0,71.37,Winter
02-01-2022,S005,P0008,Furniture,East,353.0,250.0,57.0,254.75,63.54,15.0,Cloudy,0.0,61.05,Summer
02-01-2022,S005,P0009,Electronics,West,119.0,90.0,76.0,99.63,78.08,10.0,Sunny,0.0,73.69,Winter
02-01-2022,S005,P0010,Furniture,West,403.0,83.0,77.0,84.32,43.09,10.0,Sunny,1.0,47.02,Spring
02-01-2022,S005,P0011,Electronics,East,60.0,16.0,149.0,23.98,25.67,5.0,Sunny,1.0,27.78,Winter
02-01-2022,S005,P0012,Toys,West,182.0,87.0,121.0,83.13,38.59,20.0,Rainy,0.0,33.87,Spring
02-01-2022,S005,P0013,Furniture,East,455.0,241.0,136.0,235.03,57.99,5.0,Sunny,0.0,55.4,Spring
02-01-2022,S005,P0014,Toys,South,437.0,286.0,116.0,282.52,14.65,20.0,Snowy,1.0,13.12,Winter
02-01-2022,S005,P0015,Clothing,West,289.0,60.0,83.0,52.77,63.26,0.0,Rainy,1.0,61.02,Autumn
02-01-2022,S005,P0016,Groceries,East,487.0,437.0,106.0,432.86,43.64,15.0,Cloudy,1.0,39.13,Autumn
02-01-2022,S005,P0017,Toys,North,418.0,377.0,76.0,383.26,84.85,20.0,Sunny,1.0,84.29,Summer
02-01-2022,S005,P0018,Clothing,West,89.0,83.0,113.0,78.67,47.05,15.0,Rainy,1.0,47.89,Spring
02-01-2022,S005,P0019,Clothing,West,421.0,203.0,152.0,220.23,76.83,20.0,Snowy,0.0,75.86,Spring
02-01-2022,S005,P0020,Clothing,South,211.0,183.0,189.0,190.11,93.95,10.0,Sunny,1.0,98.89,Spring
03-01-2022,S001,P0001,Electronics,West,154.0,5.0,189.0,5.36,62.7,20.0,Rainy,0.0,58.22,Winter
03-01-2022,S001,P0002,Clothing,East,282.0,199.0,70.0,193.26,54.02,0.0,Cloudy,0.0,52.91,Spring
03-01-2022,S001,P0003,Toys,South,183.0,176.0,124.0,168.28,26.03,10.0,Rainy,0.0,29.38,Winter
03-01-2022,S001,P0004,Electronics,East,239.0,214.0,51.0,228.51,10.19,0.0,Cloudy,1.0,7.82,Winter
03-01-2022,S001,P0005,Groceries,West,368.0,165.0,56.0,170.76,95.54,0.0,Sunny,0.0,91.29,Spring
03-01-2022,S001,P0006,Furniture,South,57.0,9.0,40.0,13.6,57.65,5.0,Sunny,0.0,58.01,Summer
03-01-2022,S001,P0007,Clothing,South,460.0,140.0,70.0,143.7,87.85,20.0,Sunny,0.0,91.9,Winter
03-01-2022,S001,P0008,Groceries,West,214.0,177.0,150.0,178.0,53.94,5.0,Snowy,0.0,51.47,Autumn
03-01-2022,S001,P0009,Groceries,South,407.0,217.0,55.0,217.69,61.42,20.0,Sunny,0.0,65.86,Winter
03-01-2022,S001,P0010,Electronics,West,51.0,47.0,155.0,38.08,99.14,10.0,Snowy,0.0,102.66,Autumn
03-01-2022,S001,P0011,Groceries,East,252.0,3.0,98.0,5.18,60.52,0.0,Cloudy,0.0,62.72,Autumn
03-01-2022,S001,P0012,Clothing,East,72.0,2.0,62.0,9.81,86.93,15.0,Cloudy,0.0,83.11,Summer
03-01-2022,S001,P0013,Clothing,South,194.0,18.0,120.0,20.5,83.11,10.0,Snowy,1.0,85.16,Summer
03-01-2022,S001,P0014,Toys,South,302.0,242.0,145.0,255.54,32.28,10.0,Rainy,1.0,30.1,Winter
03-01-2022,S001,P0015,Toys,North,330.0,228.0,157.0,246.91,52.17,10.0,Sunny,1.0,52.43,Summer
03-01-2022,S001,P0016,Clothing,East,148.0,31.0,160.0,35.11,93.61,15.0,Snowy,1.0,94.15,Spring
03-01-2022,S001,P0017,Clothing,North,315.0,16.0,197.0,33.51,98.25,5.0,Sunny,0.0,100.34,Spring
03-01-2022,S001,P0018,Furniture,East,97.0,20.0,147.0,37.26,78.53,5.0,Rainy,0.0,75.48,Autumn
03-01-2022,S001,P0019,Furniture,South,240.0,193.0,171.0,203.45,56.91,0.0,Sunny,1.0,54.2,Spring
03-01-2022,S001,P0020,Toys,North,178.0,118.0,162.0,110.02,35.32,20.0,Cloudy,1.0,37.56,Summer
03-01-2022,S002,P0001,Toys,North,405.0,96.0,171.0,100.82,48.08,0.0,Rainy,1.0,49.4,Autumn
03-01-2022,S002,P0002,Electronics,North,200.0,48.0,47.0,55.45,46.95,15.0,Snowy,1.0,43.48,Summer
